Variable,Model A (MMГ—Race),Model B (MMГ—Female),Model C (Triple)
RACE_BLACK,"-0.008
(0.127)","0.152***
(0.010)","-0.007
(0.146)"
RACE_HISPANIC,"0.778***
(0.090)","0.059***
(0.011)","0.603***
(0.104)"
RACE_OTHER,"0.396**
(0.147)","0.059**
(0.020)","0.299.
(0.167)"
FEMALE,"-0.585***
(0.021)","-0.647***
(0.087)","-0.971***
(0.168)"
MAND_MIN,"1.060***
(0.077)","0.666***
(0.044)","0.946***
(0.089)"
MAND_MIN:RACE_BLACK,"0.160
(0.127)",вЂ”,"0.159
(0.146)"
MAND_MIN:RACE_HISPANIC,"-0.734***
(0.090)",вЂ”,"-0.555***
(0.105)"
MAND_MIN:RACE_OTHER,"-0.341*
(0.147)",вЂ”,"-0.243
(0.168)"
MAND_MIN:FEMALE,вЂ”,"0.058
(0.086)","0.395*
(0.170)"
MAND_MIN:RACE_BLACK:FEMALE,вЂ”,вЂ”,"0.121
(0.294)"
MAND_MIN:RACE_HISPANIC:FEMALE,вЂ”,вЂ”,"-0.664***
(0.202)"
MAND_MIN:RACE_OTHER:FEMALE,вЂ”,вЂ”,"-0.333
(0.345)"
RВІ,0.4117,0.4110,0.4118
N,"188,873","188,873","188,873"
